commun;state
10;Michoacán de Ocampo
20;Jalisco
21;Jalisco
25;Jalisco
34;Zacatecas
39;San Luis Potosi
44;San Luis Potosi
45;San Luis Potosi
49;Oaxaca
50;Oaxaca
55;Guanajuato
56;Guanajuato
59;Puebla
71;Aguascalientes
75;Durango
81;Chihuahua
92;Hidalgo
100;Veracruz de Ignacio de la Llave
101;Veracruz de Ignacio de la Llave
102;Veracruz de Ignacio de la Llave
103;Veracruz de Ignacio de la Llave
105;Veracruz de Ignacio de la Llave
108;Michoacán de Ocampo
109;Michoacán de Ocampo
111;México
114;México
117;Morelos
120;Jalisco
122;Jalisco
131;Guanajuato
135;Querétaro
146;Jalisco
149;Puebla
150;Puebla
156;México
160;Querétaro
162;Morelos
165;Morelos
169;Oaxaca
170;Oaxaca
171;Oaxaca
